"","LoanAmount","City","State","Zip","NAICSCode","BusinessType","RaceEthnicity","Gender","Veteran","NonProfit","JobsReported","DateApproved","Lender","CD"
"7859",23888,"CORAOPOLIS","PA",15108,236210,"Limited  Liability Company(LLC)","Unanswered","Male Owned","Unanswered","",2,"04/27/2020","Clearview FCU","PA-17"
"7860",23880,"OAKMONT","PA",15139,813110,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",7,"05/11/2020","SSB Bank","PA-17"
"7861",23863,"Gibsonia","PA",15044,621999,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",4,"05/03/2020","Customers Bank","PA-17"
"7862",23825,"SEWICKLEY","PA",15143,333249,"Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/13/2020","KeyBank National Association","PA-17"
"7863",23800,"SEWICKLEY","PA",15143,561730,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",4,"04/10/2020","KeyBank National Association","PA-17"
"7864",23800,"WARRENDALE","PA",15086,236117,"Limited Liability Partnership","White","Male Owned","Unanswered","",221,"04/11/2020","Enterprise Bank","PA-17"
"7865",23800,"PITTSBURGH","PA",15222,326199,"Corporation","Unanswered","Unanswered","Unanswered","",7,"04/13/2020","Dollar Bank, A Federal Savings Bank","PA-18"
"7866",23800,"PITTSBURGH","PA",15229,524210,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",3,"04/13/2020","PNC Bank, National Association","PA-17"
"7867",23800,"Upper Saint Clair","PA",15241,621111,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/30/2020","Celtic Bank Corporation","PA-18"
"7868",23800,"PITTSBURGH","PA",15224,541990,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",6,"05/03/2020","PNC Bank, National Association","PA-18"
"7869",23800,"LOWER BURRELL","PA",15068,813110,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",2,"05/03/2020","PNC Bank, National Association","PA-14"
"7870",23800,"CARNEGIE","PA",15106,561621,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",2,"05/03/2020","PNC Bank, National Association","PA-17"
"7871",23800,"PRESTO","PA",15142,623110,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",2,"05/03/2020","PNC Bank, National Association","PA-17"
"7872",23800,"WILKINSBURG","PA",15221,448310,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",5,"05/03/2020","PNC Bank, National Association","PA-18"
"7873",23800,"CLINTON","PA",15026,812112,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",6,"05/03/2020","PNC Bank, National Association","PA-17"
"7874",23800,"IMPERIAL","PA",15126,621310,"Sole Proprietorship","Unanswered","Male Owned","Non-Veteran","",2,"04/28/2020","First Commonwealth Bank","PA-17"
"7875",23800,"New Kensington","PA",15068,713910,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-14"
"7876",23800,"PITTSBURGH","PA",15203,561499,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",0,"04/09/2020","First National Bank of Pennsylvania","PA-18"
"7877",23770,"BETHEL PARK","PA",15102,541211,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",3,"06/09/2020","Intuit Financing Inc.","PA-18"
"7878",23765,"CLINTON","PA",15026,524210,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",2,"04/14/2020","KeyBank National Association","PA-17"
"7879",23757,"CARNEGIE","PA",15106,531120,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",2,"04/28/2020","First National Bank of Pennsylvania","PA-17"
"7880",23750,"PITTSBURGH","PA",15219,722511,"Corporation","White","Male Owned","Non-Veteran","",9,"04/06/2020","The Huntington National Bank","PA-18"
"7881",23750,"Pittsburgh","PA",15209,524210,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",2,"06/01/2020","Farmers Insurance Group FCU","PA-17"
"7882",23750,"MONROEVILLE","PA",15146,813110,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",3,"06/06/2020","ELCA FCU","PA-18"
"7883",23750,"PITTSBURGH","PA",15217,722511,"Corporation","Unanswered","Male Owned","Unanswered","",5,"04/15/2020","First National Bank of Pennsylvania","PA-18"
"7884",23750,"North Versailles","PA",15137,453998,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",3,"07/28/2020","Cross River Bank","PA-18"
"7885",23735,"ALLISON PARK","PA",15101,485991,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",16,"04/28/2020","WesBanco Bank, Inc.","PA-17"
"7886",23713,"SEVEN FIELDS","PA",16046,541211,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/28/2020","NexTier Bank, National Association","PA-16"
"7887",23700,"PITTSBURGH","PA",15206,711110,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",4,"04/15/2020","First Commonwealth Bank","PA-18"
"7888",23700,"PITTSBURGH","PA",15222,722513,"Partnership","Unanswered","Unanswered","Unanswered","",2,"04/10/2020","City National Bank of Florida","PA-18"
"7889",23700,"NATRONA HEIGHTS","PA",15065,447110,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",8,"04/16/2020","First Commonwealth Bank","PA-17"
"7890",23700,"PITTSBURGH","PA",15228,531210,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",1,"04/16/2020","PNC Bank, National Association","PA-17"
"7891",23700,"WEXFORD","PA",15090,561499,"Self-Employed Individuals","Unanswered","Unanswered","Unanswered","",0,"04/29/2020","First National Bank of Pennsylvania","PA-17"
"7892",23700,"PITTSBURGH","PA",15216,561499,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",0,"04/29/2020","First National Bank of Pennsylvania","PA-17"
"7893",23700,"PITTSBURGH","PA",15219,541110,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",0,"04/12/2020","First National Bank of Pennsylvania","PA-18"
"7894",23700,"PITTSBURGH","PA",15222,453220,"Corporation","Unanswered","Unanswered","Unanswered","",19,"05/03/2020","PNC Bank, National Association","PA-18"
"7895",23700,"PITTSBURGH","PA",15215,713990,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",2,"04/28/2020","Dollar Bank, A Federal Savings Bank","PA-17"
"7896",23700,"Pittsburgh","PA",15236,541211,"Limited  Liability Company(LLC)","Unanswered","Male Owned","Non-Veteran","",NA,"04/15/2020","Citizens Bank, National Association","PA-18"
"7897",23700,"Verona","PA",15147,621111,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-17"
"7898",23700,"McDonald","PA",15057,236115,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-18"
"7899",23700,"East Pittsbugh","PA",15122,811198,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-18"
"7900",23700,"PITTSBURGH","PA",15229,561740,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-17"
"7901",23700,"CORAOPOLIS","PA",15108,445299,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",5,"04/28/2020","First Commonwealth Bank","PA-17"
"7902",23700,"Pittsburgh","PA",15227,561990,"Sole Proprietorship","Unanswered","Male Owned","Non-Veteran","",0,"05/03/2020","Citizens Bank, National Association","PA-18"
"7903",23700,"Pittsburgh","PA",15202,541618,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",0,"05/03/2020","Citizens Bank, National Association","PA-18"
"7904",23697,"PITTSBURGH","PA",15236,236220,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",2,"05/22/2020","First National Bank of Pennsylvania","PA-18"
"7905",23665,"MONONGAHELA","PA",15063,312130,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",7,"04/12/2020","KeyBank National Association","PA-18"
"7906",23660,"PITTSBURGH","PA",15235,811111,"Sole Proprietorship","White","Male Owned","Non-Veteran","",3,"06/24/2020","KeyBank National Association","PA-17"
"7907",23659,"Pittsburgh","PA",15216,236210,"Corporation","Unanswered","Unanswered","Unanswered","",4,"05/20/2020","Cross River Bank","PA-17"
"7908",23632.5,"PITTSBURGH","PA",15237,541990,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",1,"07/30/2020","First National Bank of Pennsylvania","PA-17"
"7909",23627.5,"Morgan","PA",15064,531320,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",3,"04/28/2020","Northwest Bank","PA-18"
"7910",23620,"OAKMONT","PA",15139,524210,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",1,"04/28/2020","S & T Bank","PA-17"
"7911",23616,"COULTERS","PA",15028,811310,"Corporation","Unanswered","Unanswered","Unanswered","",3,"05/12/2020","S & T Bank","PA-18"
"7912",23600,"PITTSBURGH","PA",15222,812112,"Limited  Liability Company(LLC)","Unanswered","Female Owned","Non-Veteran","",6,"07/10/2020","Dollar Bank, A Federal Savings Bank","PA-18"
"7913",23600,"PITTSBURGH","PA",15241,524210,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",4,"04/15/2020","PNC Bank, National Association","PA-18"
"7914",23600,"PITTSBURGH","PA",15241,621399,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",1,"04/16/2020","PNC Bank, National Association","PA-18"
"7915",23600,"WEXFORD","PA",15090,812990,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",5,"04/16/2020","PNC Bank, National Association","PA-17"
"7916",23600,"Pittsburgh","PA",15219,812112,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",5,"04/30/2020","First Commonwealth Bank","PA-18"
"7917",23600,"Pittsburgh","PA",15237,311412,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",NA,"05/14/2020","Citizens Bank, National Association","PA-17"
"7918",23600,"PITTSBURGH","PA",15213,621111,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",3,"05/03/2020","PNC Bank, National Association","PA-18"
"7919",23600,"MCKEESPORT","PA",15132,561499,"Corporation","Unanswered","Unanswered","Unanswered","",0,"04/14/2020","First National Bank of Pennsylvania","PA-18"
"7920",23600,"MARS","PA",16046,541690,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",1,"05/03/2020","PNC Bank, National Association","PA-16"
"7921",23600,"Pittsburgh","PA",15237,611699,"Limited  Liability Company(LLC)","Unanswered","Female Owned","Non-Veteran","",NA,"04/15/2020","Citizens Bank, National Association","PA-17"
"7922",23600,"Pittsburgh","PA",15236,236220,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",NA,"07/27/2020","Citizens Bank, National Association","PA-18"
"7923",23600,"Pittsburgh","PA",15220,423450,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"05/19/2020","Citizens Bank, National Association","PA-18"
"7924",23600,"MC DONALD","PA",15057,238290,"Corporation","White","Male Owned","Non-Veteran","",3,"04/09/2020","The Huntington National Bank","PA-18"
"7925",23594,"Pittsburgh","PA",15237,524210,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",5,"04/16/2020","Cross River Bank","PA-17"
"7926",23592,"BETHEL PARK","PA",15102,423450,"Subchapter S Corporation","White","Male Owned","Non-Veteran","",3,"04/12/2020","KeyBank National Association","PA-18"
"7927",23557,"PITTSBURGH","PA",15218,236118,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",5,"05/04/2020","Somerset Trust Company","PA-18"
"7928",23555,"PITTSBURGH","PA",15216,541990,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",1,"04/28/2020","WesBanco Bank, Inc.","PA-17"
"7929",23530,"WEXFORD","PA",15090,813110,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",4,"04/14/2020","S & T Bank","PA-17"
"7930",23525,"arnold","PA",15068,541211,"Corporation","Unanswered","Unanswered","Unanswered","",3,"07/30/2020","Kabbage, Inc.","PA-14"
"7931",23517,"MC DONALD","PA",15057,722511,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",11,"04/30/2020","Northwest Bank","PA-18"
"7932",23500,"MC KEES ROCKS","PA",15136,238310,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",5,"05/04/2020","PNC Bank, National Association","PA-17"
"7933",23500,"PITTSBURGH","PA",15241,447110,"Corporation","Unanswered","Unanswered","Unanswered","",0,"04/15/2020","First National Bank of Pennsylvania","PA-18"
"7934",23500,"West Elizabeth","PA",15088,811310,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",3,"04/15/2020","PNC Bank, National Association","PA-18"
"7935",23500,"NATRONA HEIGHTS","PA",15065,561499,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",0,"04/16/2020","First National Bank of Pennsylvania","PA-17"
"7936",23500,"Leetsdale","PA",15056,238990,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/30/2020","Citizens Bank, National Association","PA-17"
"7937",23500,"PITTSBURGH","PA",15234,238320,"Corporation","Unanswered","Unanswered","Unanswered","",5,"05/29/2020","PNC Bank, National Association","PA-17"
"7938",23500,"Pittsburgh","PA",15210,453991,"Corporation","Unanswered","Male Owned","Non-Veteran","",NA,"05/11/2020","Citizens Bank, National Association","PA-18"
"7939",23500,"VERONA","PA",15147,561499,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",0,"04/30/2020","First National Bank of Pennsylvania","PA-17"
"7940",23500,"PITTSBURGH","PA",15238,541715,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",4,"04/07/2020","First National Bank of Pennsylvania","PA-18"
"7941",23500,"TARENTUM","PA",15084,NA,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",4,"05/03/2020","PNC Bank, National Association","PA-17"
"7942",23500,"JEFFERSON HILLS","PA",15025,999990,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",9,"05/03/2020","PNC Bank, National Association","PA-18"
"7943",23500,"Monroeville","PA",15146,621310,"Subchapter S Corporation","Unanswered","Male Owned","Non-Veteran","",NA,"04/15/2020","Citizens Bank, National Association","PA-18"
"7944",23500,"McKees Rocks","PA",15136,621310,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-17"
"7945",23500,"Bethel Park","PA",15102,722410,"Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-18"
"7946",23500,"PITTSBURGH","PA",15241,722511,"Corporation","Unanswered","Unanswered","Unanswered","",12,"04/28/2020","Dollar Bank, A Federal Savings Bank","PA-18"
"7947",23492,"Moon Township","PA",15108,541990,"Corporation","Unanswered","Unanswered","Unanswered","",2,"05/03/2020","Cross River Bank","PA-17"
"7948",23437,"Wexford","PA",15090,517210,"Corporation","Asian","Male Owned","Non-Veteran","",9,"04/28/2020","The Huntington National Bank","PA-17"
"7949",23414.3,"Lower Burrell","PA",15068,236220,"Limited  Liability Company(LLC)","Unanswered","Male Owned","Non-Veteran","",4,"05/12/2020","Clearview FCU","PA-14"
"7950",23410,"Pittsburgh","PA",15229,541430,"Self-Employed Individuals","Unanswered","Unanswered","Unanswered","",3,"08/07/2020","Kabbage, Inc.","PA-17"
"7951",23400,"WEXFORD","PA",15090,561499,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",0,"04/09/2020","First National Bank of Pennsylvania","PA-17"
"7952",23400,"NATRONA HEIGHTS","PA",15065,621111,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",3,"05/04/2020","Dollar Bank, A Federal Savings Bank","PA-17"
"7953",23400,"CUDDY","PA",15031,425120,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",0,"04/15/2020","First National Bank of Pennsylvania","PA-18"
"7954",23400,"MONROEVILLE","PA",15146,813110,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",15,"04/29/2020","S & T Bank","PA-18"
"7955",23400,"ALLISON PARK","PA",15101,561499,"Corporation","Unanswered","Unanswered","Unanswered","",0,"04/29/2020","First National Bank of Pennsylvania","PA-17"
"7956",23400,"PITTSBURGH","PA",15227,813410,"Non-Profit Organization","Unanswered","Unanswered","Non-Veteran","Y",0,"05/25/2020","immito, LLC","PA-18"
"7957",23400,"PITTSBURGH","PA",15237,443142,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",6,"04/11/2020","KeyBank National Association","PA-17"
"7958",23400,"ASPINWALL","PA",15215,334419,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",1,"04/13/2020","Dollar Bank, A Federal Savings Bank","PA-17"
"7959",23400,"EAST MC KEESPORT","PA",15035,621210,"Corporation","Unanswered","Unanswered","Unanswered","",0,"04/13/2020","First National Bank of Pennsylvania","PA-18"
"7960",23400,"PITTSBURGH","PA",15239,561499,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",0,"04/30/2020","First National Bank of Pennsylvania","PA-18"
"7961",23400,"Pittsburgh","PA",15217,722511,"Corporation","Unanswered","Unanswered","Unanswered","",NA,"05/14/2020","Citizens Bank, National Association","PA-18"
"7962",23400,"PITTSBURGH","PA",15237,524210,"Limited  Liability Company(LLC)","Unanswered","Male Owned","Non-Veteran","",7,"05/03/2020","PNC Bank, National Association","PA-17"
"7963",23400,"PITTSBURGH","PA",15222,541110,"Subchapter S Corporation","Unanswered","Male Owned","Non-Veteran","",2,"05/03/2020","PNC Bank, National Association","PA-18"
"7964",23400,"Sewickley","PA",15143,621111,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-17"
"7965",23400,"New Kensington","PA",15068,541519,"Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-14"
"7966",23400,"PITTSBURGH","PA",15241,524210,"Subchapter S Corporation","White","Male Owned","Non-Veteran","",1,"04/15/2020","The Huntington National Bank","PA-18"
"7967",23400,"PITTSBURGH","PA",15235,621310,"Sole Proprietorship","White","Female Owned","Veteran","",4,"04/09/2020","The Huntington National Bank","PA-17"
"7968",23400,"West Mifflin","PA",15122,811121,"Sole Proprietorship","Unanswered","Male Owned","Non-Veteran","",NA,"05/01/2020","Citizens Bank, National Association","PA-18"
"7969",23400,"PITTSBURGH","PA",15241,523120,"Subchapter S Corporation","Unanswered","Male Owned","Non-Veteran","",2,"04/15/2020","PNC Bank, National Association","PA-18"
"7970",23400,"NEW KENSINGTON","PA",15068,722511,"Corporation","Unanswered","Unanswered","Unanswered","",9,"04/28/2020","First National Bank of Pennsylvania","PA-14"
"7971",23400,"PITTSBURGH","PA",15208,813110,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",4,"04/28/2020","PNC Bank, National Association","PA-18"
"7972",23395.72,"PITTSBURGH","PA",15235,722511,"Corporation","Unanswered","Unanswered","Unanswered","",4,"06/08/2020","SSB Bank","PA-17"
"7973",23348,"Moon Twp","PA",15108,722511,"Corporation","Unanswered","Unanswered","Unanswered","",9,"06/03/2020","Kabbage, Inc.","PA-17"
"7974",23335,"CARNEGIE","PA",15106,541110,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",2,"04/08/2020","S & T Bank","PA-17"
"7975",23320,"Pittsburgh","PA",15241,541511,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"08/04/2020","FC Marketplace, LLC (dba Funding Circle)","PA-18"
"7976",23305,"GIBSONIA","PA",15044,238990,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",1,"04/28/2020","WesBanco Bank, Inc.","PA-17"
"7977",23305,"WEXFORD","PA",15090,812112,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",3,"06/04/2020","First National Bank of Pennsylvania","PA-17"
"7978",23300,"OAKDALE","PA",15071,524298,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",2,"05/05/2020","Community Bank","PA-17"
"7979",23300,"Pittsburgh","PA",15212,453998,"Sole Proprietorship","Unanswered","Male Owned","Non-Veteran","",3,"04/15/2020","Readycap Lending, LLC","PA-18"
"7980",23300,"Pittsburgh","PA",15207,811118,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",NA,"04/29/2020","Citizens Bank, National Association","PA-18"
"7981",23300,"WEXFORD","PA",15090,561311,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",4,"04/12/2020","KeyBank National Association","PA-17"
"7982",23300,"PITTSBURGH","PA",15237,238120,"Limited  Liability Company(LLC)","White","Male Owned","Non-Veteran","",2,"04/04/2020","Dollar Bank, A Federal Savings Bank","PA-17"
"7983",23300,"North Versailles","PA",15137,722511,"Corporation","Unanswered","Unanswered","Unanswered","",7,"04/30/2020","First Commonwealth Bank","PA-18"
"7984",23300,"Pittsburgh","PA",15238,541330,"Corporation","Unanswered","Unanswered","Unanswered","",2,"04/30/2020","First Commonwealth Bank","PA-18"
"7985",23300,"PITTSBURGH","PA",15232,541410,"Limited  Liability Company(LLC)","Unanswered","Female Owned","Unanswered","",3,"04/07/2020","United Bank","PA-18"
"7986",23300,"BRIDGEVILLE","PA",15017,999990,"Corporation","Unanswered","Unanswered","Unanswered","",20,"05/03/2020","PNC Bank, National Association","PA-18"
"7987",23300,"PITTSBURGH","PA",15237,621310,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",2,"05/03/2020","PNC Bank, National Association","PA-17"
"7988",23300,"Coraopolis","PA",15108,722511,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-17"
"7989",23300,"PITTSBURGH","PA",15236,423110,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-18"
"7990",23272,"Bethel Park","PA",15102,445120,"Corporation","Unanswered","Unanswered","Non-Veteran","",8,"05/11/2020","Northeast Bank","PA-18"
"7991",23270,"VERONA","PA",15147,238320,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",3,"05/03/2020","Cross River Bank","PA-17"
"7992",23220,"Mc Kees Rocks","PA",15136,621310,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",3,"04/28/2020","Kish Bank","PA-17"
"7993",23202,"MCKEESPORT","PA",15132,238220,"Corporation","White","Male Owned","Non-Veteran","",8,"04/28/2020","The Huntington National Bank","PA-18"
"7994",23200,"presto","PA",15142,541410,"Limited  Liability Company(LLC)","White","Female Owned","Non-Veteran","",1,"04/15/2020","Clear Mountain Bank","PA-17"
"7995",23200,"Moon Twp","PA",15108,541211,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-17"
"7996",23200,"HOMESTEAD","PA",15120,541990,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",0,"04/15/2020","First National Bank of Pennsylvania","PA-18"
"7997",23200,"PITTSBURGH","PA",15201,722511,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",7,"04/16/2020","First Commonwealth Bank","PA-18"
"7998",23200,"Library","PA",15129,812112,"Sole Proprietorship","White","Female Owned","Non-Veteran","",3,"05/06/2020","The Farmers National Bank of Emlenton","PA-18"
"7999",23200,"Wilmerding","PA",15148,524298,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/16/2020","Citizens Bank, National Association","PA-18"
"8000",23200,"PITTSBURGH","PA",15221,488510,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",6,"04/29/2020","First Commonwealth Bank","PA-18"
"8001",23200,"OAKDALE","PA",15017,445299,"Limited  Liability Company(LLC)","Unanswered","Male Owned","Non-Veteran","",NA,"04/29/2020","Citizens Bank, National Association","PA-18"
"8002",23200,"McCandless Twp","PA",15237,447110,"Limited  Liability Company(LLC)","Asian","Male Owned","Non-Veteran","",11,"04/13/2020","The Huntington National Bank","PA-17"
"8003",23200,"NORTH VERSAILLES","PA",15137,713950,"Limited  Liability Company(LLC)","Unanswered","Male Owned","Unanswered","",10,"04/04/2020","Enterprise Bank","PA-18"
"8004",23200,"PLEASANT HILLS","PA",15236,621310,"Limited  Liability Company(LLC)","Unanswered","Male Owned","Non-Veteran","",2,"05/03/2020","PNC Bank, National Association","PA-18"
"8005",23200,"BETHEL PARK","PA",15102,999990,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",5,"05/03/2020","PNC Bank, National Association","PA-18"
"8006",23200,"SEWICKLEY","PA",15143,541940,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",3,"04/28/2020","Dollar Bank, A Federal Savings Bank","PA-17"
"8007",23200,"OAKMONT","PA",15139,813110,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",6,"05/03/2020","PNC Bank, National Association","PA-17"
"8008",23200,"BETHEL PARK","PA",15102,518210,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",2,"05/03/2020","PNC Bank, National Association","PA-18"
"8009",23200,"Oakmont","PA",15139,238210,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-17"
"8010",23200,"Oakmont","PA",15139,445110,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-17"
"8011",23200,"OAKMONT","PA",15139,524210,"Corporation","Unanswered","Unanswered","Unanswered","",3,"05/20/2020","Dollar Bank, A Federal Savings Bank","PA-17"
"8012",23186,"Jefferson Hills","PA",15025,531210,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",2,"04/28/2020","Northwest Bank","PA-18"
"8013",23178.75,"MARS","PA",16046,423510,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",5,"04/15/2020","PNC Bank, National Association","PA-16"
"8014",23150,"NEW KENSINGTON","PA",15068,236118,"Independent Contractors","Unanswered","Male Owned","Unanswered","",1,"05/08/2020","First National Bank of Pennsylvania","PA-14"
"8015",23150,"SEWICKLEY","PA",15143,561499,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",0,"04/13/2020","First National Bank of Pennsylvania","PA-17"
"8016",23137,"PITTSBURGH","PA",15220,722320,"Corporation","White","Male Owned","Non-Veteran","",2,"07/16/2020","WesBanco Bank, Inc.","PA-18"
"8017",23100,"Pittsburgh","PA",15203,722513,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/28/2020","Citizens Bank, National Association","PA-18"
"8018",23100,"PITTSBURGH","PA",15217,812990,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",0,"04/15/2020","First National Bank of Pennsylvania","PA-18"
"8019",23100,"PITTSBURGH","PA",15215,621112,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",0,"04/29/2020","First National Bank of Pennsylvania","PA-17"
"8020",23100,"PITTSBURGH","PA",15241,331110,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",3,"04/11/2020","KeyBank National Association","PA-18"
"8021",23100,"Pittsburgh","PA",15237,541199,"Corporation","Unanswered","Male Owned","Non-Veteran","",NA,"04/29/2020","Citizens Bank, National Association","PA-17"
"8022",23100,"Glenshaw","PA",15116,236118,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/29/2020","Citizens Bank, National Association","PA-17"
"8023",23100,"CORAOPOLIS","PA",15108,713940,"Corporation","White","Male Owned","Non-Veteran","",4,"04/06/2020","The Huntington National Bank","PA-17"
